Тип жилья,Кол-во комнат,Станция метро,Время в пути,Этаж,Общая площадь комнат,Наличие ремонта,Год постройки,Срок сдачи,Тип дома,Цена
Вторичка,1-комн,Дмитровская,9 мин. пешком,1,"35,9",Без ремонта,1959,,Кирпичный,6 750 000 
Вторичка,2-комн,Новые Черемушки,24 мин. пешком,15,95,Без ремонта,2017,,Монолитный,22 490 000 
Новостройка,1-комн,Бульвар Дмитрия Донского,3 мин. на транспорте,10,"40,1",,,2020,,4 990 000 
Вторичка,3-комн,Битца,5 мин. на транспорте,11,75,Косметический,1995,,Панельный,11 000 000 
Вторичка,4-комн,Дубровка,2 мин. пешком,9,153,Дизайнерский,1997,,Кирпичный,35 000 000 
Вторичка,3-комн,Кропоткинская,,2,75,,1933,,Кирпичный,33 000 000 
Вторичка,3-комн,Бунинская аллея,13 мин. пешком,3,80,Косметический,1997,,Панельный,9 700 000 
Вторичка Апартаменты,2-комн,Беломорская,2 мин. на транспорте,7,56,Без ремонта,,,,8 499 999 
Вторичка,2-комн,Измайловская,7 мин. пешком,12,76,Косметический,,,,20 500 000 
Вторичка,3-комн,Электрозаводская,11 мин. пешком,17,95,Без ремонта,,,,29 400 000 
Вторичка,2-комн,Каширская,15 мин. пешком,5,"39,5",Косметический,1966,,Кирпичный,7 300 000 
Новостройка,2-комн,Варшавская,9 мин. пешком,23,"69,09",,,2021,,13 965 023 
Вторичка,1-комн,Кузьминки,5 мин. пешком,2,"32,2",Косметический,1966,,Блочный,6 300 000 
Вторичка,5-комн,Баррикадная,11 мин. пешком,5,198,Дизайнерский,2005,,Монолитный,368 030 880 
Вторичка,2-комн,Тропарево,4 мин. на транспорте,15,50,Евроремонт,2011,,Кирпичный,13 000 000 
Вторичка,1-комн,Тропарево,4 мин. на транспорте,15,50,Евроремонт,2011,,Кирпичный,13 000 000 
Вторичка Апартаменты,1-комн,Тульская,5 мин. на транспорте,10,43,Дизайнерский,,,,8 700 000 
Вторичка,1-комн,Коньково,1 мин. пешком,11,40,Евроремонт,1991,,Панельный,9 500 000 
Вторичка,Студия,Аннино,<1 мин. на транспорте,7,22,Косметический,,,,6 500 000 
Вторичка,2-комн,Владыкино,<1 мин. на транспорте,8,44,Косметический,1973,,Панельный,8 400 000 
Вторичка,4-комн,Кунцевская,13 мин. пешком,3,141,Без ремонта,2013,,Монолитный,28 900 000 
Вторичка Апартаменты,3-комн,Ленинский проспект,13 мин. пешком,10,85,Косметический,,,,40 800 000 
Вторичка,3-комн,ВДНХ,15 мин. пешком,5,"108,7",Без ремонта,2015,,Монолитный,18 677 000 
Вторичка,2-комн,Фили,12 мин. пешком,13,57,Дизайнерский,2017,,Монолитный,17 800 000 
Новостройка,1-комн,Фили,6 мин. пешком,11,"44,2",,,2020,Монолитный,14 586 000 
Новостройка,2-комн,Фили,6 мин. пешком,12,"68,8",,,2020,Монолитный,19 482 400 
Вторичка,3-комн,Рязанский проспект,4 мин. на транспорте,7,117,Евроремонт,2001,,Монолитный,27 000 000 
Вторичка Апартаменты,3-комн,Международная,3 мин. пешком,56,"110,1",Без ремонта,,,,51 000 000 
Вторичка,3-комн,Бабушкинская,25 мин. пешком,5,69,Косметический,1967,,Кирпичный,9 499 999 
Вторичка,2-комн,Кантемировская,12 мин. пешком,8,"58,1",Косметический,1988,,Панельный,11 200 000 
Вторичка Апартаменты,3-комн,Бауманская,5 мин. пешком,6,"125,5",,,,,27 700 000 
Вторичка,2-комн,Тимирязевская,11 мин. пешком,3,"47,8",Без ремонта,1968,,Панельный,9 700 000 
Новостройка,3-комн,Авиамоторная,10 мин. пешком,2,"93,6",,,2020,,20 648 160 
Новостройка,1-комн,Выхино,14 мин. пешком,2,"38,5",,,2019,,7 904 000 
Новостройка,1-комн,Авиамоторная,10 мин. пешком,5,"42,3",,,2020,,10 139 310 
Новостройка,1-комн,Авиамоторная,10 мин. пешком,2,"43,2",,,2020,,10 139 040 
Новостройка,2-комн,Отрадное,3 мин. на транспорте,18,"57,7",,,2021,,9 624 360 
Вторичка,3-комн,Текстильщики,15 мин. пешком,3,82,Косметический,1960,,,13 500 000 
Вторичка,2-комн,Люблино,14 мин. пешком,7,44,Косметический,1973,,Кирпичный,6 940 000 
Новостройка Апартаменты,1-комн,Комсомольская,9 мин. пешком,15,"47,6",,2017,2017,Монолитный,15 136 800 
