Тип жилья,Кол-во комнат,Станция метро,Время в пути,Этаж,Общая площадь комнат,Наличие ремонта,Год постройки,Срок сдачи,Тип дома,Цена
Вторичка,4-комн,Боровицкая,6 мин. пешком,4,117,,1913,,Кирпичный,36 000 000 
Вторичка Пентхаус,5-комн,Крестьянская застава,3 мин. на транспорте,7,"202,2",,2013,,,111 000 000 
Вторичка,2-комн,Ясенево,15 мин. пешком,1,"44,3",Косметический,1978,,Панельный,7 800 000 
Вторичка,4-комн,Улица 1905 года,10 мин. пешком,4,"117,6",,2010,,Кирпичный,94 951 967 
Вторичка,3-комн,Марксистская,10 мин. пешком,7,141,Дизайнерский,2003,,Кирпичный,52 000 000 
Вторичка,2-комн,Добрынинская,10 мин. пешком,9,"73,3",Дизайнерский,2013,,Кирпичный,56 000 000 
Вторичка,4-комн,Академическая,17 мин. пешком,4,164,Дизайнерский,,,,43 000 000 
Вторичка,3-комн,Орехово,9 мин. пешком,3,50,Дизайнерский,1974,,Панельный,9 300 000 
Вторичка,4-комн,Улица 1905 года,14 мин. пешком,11,160,Без ремонта,,,,78 000 000 
Вторичка,2-комн,Охотный ряд,8 мин. пешком,4,61,Дизайнерский,1932,,Кирпичный,33 550 000 
Вторичка,3-комн,Баррикадная,,3,130,Дизайнерский,1998,,Монолитный,67 000 000 
Вторичка,4-комн,Ленинский проспект,10 мин. пешком,4,"124,1",Без ремонта,2017,,Монолитный,53 000 000 
Новостройка,2-комн,Дубровка,3 мин. пешком,2,"71,2",,,2021,Монолитный,16 198 000 
Новостройка,2-комн,Дубровка,3 мин. пешком,2,"69,1",,,2021,Монолитный,15 547 500 
Новостройка,2-комн,Дубровка,3 мин. пешком,3,"58,8",,,2021,Монолитный,14 112 000 
Новостройка,2-комн,Дубровка,3 мин. пешком,3,"62,3",,,2021,Монолитный,15 263 500 
Новостройка,2-комн,Дубровка,3 мин. пешком,12,"55,7",,,2021,Монолитный,13 646 500 
Вторичка,2-комн,Дмитровская,4 мин. пешком,5,"43,9",Косметический,1960,,Блочный,8 800 000 
Вторичка,4-комн,Китай-город,5 мин. пешком,4,125,Косметический,,,,46 000 000 
Вторичка,1-комн,Бабушкинская,26 мин. пешком,9,"32,2",Косметический,1970,,Кирпичный,6 350 000 
Новостройка,3-комн,Улица 1905 года,7 мин. пешком,17,"108,41",,,2022,Монолитный,58 975 040 
Вторичка,2-комн,Парк Победы,20 мин. пешком,12,71,Дизайнерский,2005,,Монолитный,22 490 000 
Вторичка,2-комн,Тульская,13 мин. пешком,15,"86,9",Без ремонта,2017,,Монолитный,32 500 000 
Вторичка,Студия,Коломенская,8 мин. пешком,1,18,Косметический,,,,3 730 000 
Вторичка Апартаменты,2-комн,Ленинский проспект,13 мин. пешком,5,61,Без ремонта,,,,24 000 000 
Вторичка,3-комн,Пролетарская,3 мин. пешком,2,72,Косметический,1987,,Кирпичный,16 500 000 
Новостройка,3-комн,Автозаводская,4 мин. на транспорте,2,"78,24",,,2021,,18 808 896 
Вторичка Апартаменты,3-комн,Смоленская,2 мин. пешком,4,145,Дизайнерский,2015,,Монолитный,130 000 000 
Новостройка,2-комн,Улица 1905 года,7 мин. пешком,17,"72,28",,,2022,Монолитный,40 079 260 
Вторичка Апартаменты,3-комн,Деловой центр,3 мин. пешком,52,226,Дизайнерский,,,,164 979 360 
Вторичка,3-комн,Комсомольская,2 мин. пешком,5,"55,5",Косметический,1961,,Кирпичный,16 500 000 
Вторичка Апартаменты,2-комн,Новокузнецкая,8 мин. пешком,4,"59,5",Дизайнерский,2016,,Монолитный,35 500 000 
Вторичка,2-комн,Беговая,3 мин. пешком,36,"107,8",Дизайнерский,2008,,Монолитный,28 000 000 
Вторичка,2-комн,Кантемировская,9 мин. пешком,20,62,Без ремонта,2008,,Панельный,11 990 000 
Вторичка,1-комн,Кузьминки,4 мин. пешком,15,38,Косметический,2006,,Панельный,8 190 000 
Вторичка,1-комн,Аннино,9 мин. пешком,1,35,Косметический,1983,,Панельный,6 400 000 
Вторичка,3-комн,Печатники,9 мин. пешком,1,60,Косметический,1969,,Панельный,8 450 000 
Новостройка,2-комн,Бунинская аллея,7 мин. на транспорте,1,"66,7",,,2020,,8 430 880 
Вторичка,2-комн,Новоясеневская,5 мин. пешком,1,41,Косметический,1978,,Монолитный,7 800 000 
Новостройка,Студия,Отрадное,3 мин. на транспорте,19,"21,5",,,2021,Монолитный,5 046 050 
Вторичка,Студия,Бунинская аллея,6 мин. на транспорте,4,"35,1",Евроремонт,,,,5 950 000 
Вторичка,2-комн,Кузьминки,12 мин. пешком,7,45,Косметический,1965,,Блочный,7 900 000 
Вторичка,4-комн,Студенческая,5 мин. пешком,2,"107,7",Косметический,1936,,Кирпичный,20 290 000 
Вторичка,3-комн,Царицыно,13 мин. пешком,2,"85,1",Косметический,2008,,Монолитный,18 500 000 
Вторичка,4-комн,Смоленская,<1 мин. пешком,3,77,Евроремонт,1910,,Кирпичный,27 450 000 
Вторичка,2-комн,Каховская,4 мин. на транспорте,1,"40,5",Косметический,1964,,Блочный,8 400 000 
Вторичка,2-комн,Кузьминки,10 мин. пешком,3,45,Косметический,1962,,Панельный,7 290 000 
Вторичка,3-комн,Ясенево,6 мин. пешком,8,78,Косметический,1978,,Панельный,12 549 999 
Вторичка,3-комн,Улица Академика Янгеля,16 мин. пешком,9,57,Евроремонт,1977,,Панельный,12 190 000 
Вторичка,1-комн,Домодедовская,15 мин. пешком,4,36,Евроремонт,,,,7 850 000 
Новостройка,2-комн,Улица 1905 года,7 мин. пешком,9,"111,01",,,2022,Монолитный,58 557 775 
Новостройка Апартаменты,1-комн,Марьино,18 мин. пешком,4,19,,,2020,,3 035 000 
Новостройка Апартаменты,1-комн,Братиславская,2 мин. на транспорте,3,21,,,2020,,3 365 000 
Новостройка Апартаменты,1-комн,Братиславская,2 мин. на транспорте,3,20,,,2020,,3 300 000 
Вторичка Апартаменты,2-комн,Аэропорт,10 мин. пешком,3,"35,7",Без ремонта,2016,,Монолитный,8 000 000 
Вторичка Апартаменты,3-комн,Аэропорт,10 мин. пешком,3,"68,8",Без ремонта,2016,,Монолитный,15 480 000 
Новостройка Апартаменты,2-комн,Комсомольская,9 мин. пешком,3,"71,1",,2017,2017,Монолитный,17 064 000 
Вторичка,1-комн,Лесопарковая,4 мин. на транспорте,2,"37,8",Косметический,1997,,Панельный,6 450 000 
Вторичка,3-комн,Кропоткинская,6 мин. пешком,9,"82,2",Евроремонт,1933,,Кирпичный,37 000 000 
Вторичка,Многокомнатная квартира,Крылатское,,2,330,,2006,,Кирпичный,99 000 000 
Вторичка,2-комн,Беговая,,5,54,Косметический,1957,,Кирпичный,11 100 000 
Вторичка,4-комн,Боровицкая,,5,117,,1910,,Кирпичный,47 500 000 
Новостройка Апартаменты,3-комн,Белорусская,14 мин. пешком,5,104,,,2020,,25 804 000 
Вторичка,3-комн,Алтуфьево,,20,78,Дизайнерский,1983,,Панельный,14 100 000 
Вторичка,4-комн,Шаболовская,11 мин. пешком,12,121,Дизайнерский,2017,,Монолитный,59 000 000 
Вторичка,3-комн,Серпуховская,7 мин. пешком,3,120,Без ремонта,2013,,Кирпичный,59 900 000 
Вторичка Пентхаус,5-комн,Киевская,13 мин. пешком,7,306,,,,,425 000 000 
Вторичка Пентхаус,Многокомнатная квартира,Крылатское,10 мин. на транспорте,4,395,Дизайнерский,2004,,Монолитный,180 842 760 
Вторичка,3-комн,Динамо,9 мин. пешком,11,88,Без ремонта,2018,,,26 150 000 
Вторичка,2-комн,Марьино,4 мин. на транспорте,5,45,Косметический,1980,,Панельный,7 400 000 
Вторичка,4-комн,Беговая,7 мин. на транспорте,16,130,Без ремонта,2017,,Монолитный,64 000 000 
Вторичка,4-комн,ЦСКА,4 мин. пешком,31,150,Дизайнерский,2006,,Монолитный,47 000 000 
Вторичка,3-комн,Пионерская,3 мин. на транспорте,5,115,Дизайнерский,2007,,Монолитный,47 000 000 
Вторичка,5-комн,Пионерская,3 мин. на транспорте,23,246,Дизайнерский,2007,,Монолитный,175 000 000 
Вторичка,4-комн,Улица 1905 года,8 мин. пешком,7,169,Дизайнерский,2000,,Монолитный,70 000 000 
Вторичка Апартаменты,3-комн,Китай-город,14 мин. пешком,4,144,Без ремонта,,,,92 160 000 
Вторичка,4-комн,Арбатская,9 мин. пешком,5,170,Евроремонт,1892,,Кирпичный,120 207 024 
Вторичка,2-комн,Калужская,5 мин. на транспорте,33,73,Евроремонт,2010,,Монолитный,22 990 000 
Вторичка,2-комн,ВДНХ,5 мин. на транспорте,2,"45,1",Евроремонт,1972,,Панельный,8 990 000 
Новостройка,1-комн,Авиамоторная,10 мин. пешком,23,35,,,2021,,10 024 000 
Вторичка,5-комн,Баррикадная,10 мин. пешком,5,"229,9",Без ремонта,1914,,Кирпичный,89 900 000 
Новостройка,3-комн,Ботанический сад,11 мин. пешком,14,"113,5",,,2019,,22 371 304 
Вторичка,4-комн,Деловой центр,9 мин. на транспорте,35,"115,1",Дизайнерский,2011,,Монолитный,76 686 848 
Вторичка,1-комн,Кантемировская,15 мин. пешком,4,32,Без ремонта,1964,,Панельный,6 300 000 
Вторичка,3-комн,Петровско-Разумовская,5 мин. пешком,1,74,Евроремонт,1957,,Кирпичный,11 800 000 
Вторичка,2-комн,Арбатская,8 мин. пешком,6,"46,2",Дизайнерский,1902,,Кирпичный,32 900 000 
Новостройка,1-комн,Бунинская аллея,7 мин. на транспорте,9,"45,3",,,2021,,6 264 990 
Вторичка,2-комн,Аннино,5 мин. пешком,16,54,Косметический,1979,,Панельный,8 150 000 
Новостройка,1-комн,Владыкино,12 мин. пешком,2,"41,6",,,2020,,8 692 320 
Новостройка,1-комн,Владыкино,12 мин. пешком,2,"40,2",,,2020,,8 399 790 
Новостройка,1-комн,Владыкино,12 мин. пешком,3,"40,9",,,2020,,8 576 730 
Вторичка,2-комн,Чистые пруды,,4,118,Дизайнерский,2009,,Монолитный,68 500 000 
Вторичка,1-комн,Каховская,18 мин. пешком,4,"35,5",Косметический,1965,,Блочный,6 800 000 
Вторичка,3-комн,Чистые пруды,11 мин. пешком,8,"97,9",Евроремонт,1936,,Монолитный,48 700 000 
Вторичка,4-комн,Кузнецкий мост,,4,198,Дизайнерский,1917,,Кирпичный,80 000 000 
Вторичка,2-комн,Студенческая,7 мин. пешком,6,"53,2",Дизайнерский,1952,,Кирпичный,32 000 000 
Вторичка,3-комн,Беляево,4 мин. на транспорте,16,"135,1",Дизайнерский,2010,,Монолитный,49 990 000 
Новостройка,Квартира свободной планировки,Китай-город,5 мин. пешком,3,"125,1",,,,Монолитно кирпичный,131 355 000 
Вторичка Пентхаус,3-комн,Улица 1905 года,11 мин. пешком,40,100,Дизайнерский,2018,,Монолитный,50 000 000 
Вторичка,5-комн,Крестьянская застава,5 мин. пешком,6,"134,6",Евроремонт,1953,,Кирпичный,43 500 000 
Вторичка,1-комн,Алтуфьево,6 мин. на транспорте,8,44,Косметический,2007,,Монолитный,7 990 000 
Вторичка,3-комн,Новые Черемушки,5 мин. пешком,31,"102,2",Евроремонт,2012,,Монолитный,30 700 000 
Новостройка,2-комн,Варшавская,9 мин. пешком,2,"67,4",,,2021,,13 235 001 
Вторичка,3-комн,Шипиловская,6 мин. пешком,11,76,Евроремонт,1985,,Панельный,13 490 000 
Вторичка,5-комн,Дмитровская,15 мин. пешком,3,187,Дизайнерский,,,,61 000 000 
Новостройка Апартаменты,3-комн,Красносельская,11 мин. пешком,4,"107,1",,,2019,,25 704 000 
Вторичка,2-комн,Владыкино,3 мин. на транспорте,6,"52,4",Евроремонт,,,,9 650 000 
Вторичка Апартаменты,2-комн,Теплый Стан,3 мин. на транспорте,1,56,Без ремонта,1978,,Панельный,8 500 000 
Новостройка,3-комн,Волгоградский проспект,5 мин. пешком,22,80,,,2021,Монолитный,14 500 000 
Новостройка,2-комн,Владыкино,12 мин. пешком,3,"64,6",,,2020,,11 757 200 
Новостройка,3-комн,Автозаводская,4 мин. на транспорте,7,"94,7",,,2021,,24 006 450 
Вторичка,1-комн,Коньково,4 мин. на транспорте,12,47,Косметический,2002,,Панельный,9 200 000 
Вторичка Апартаменты,3-комн,Новокузнецкая,5 мин. пешком,2,103,Дизайнерский,2016,,Монолитный,59 900 000 
Новостройка,1-комн,Лесопарковая,3 мин. пешком,15,49,,,2020,,8 500 000 
Вторичка,3-комн,Пролетарская,7 мин. пешком,1,62,Косметический,1931,,Кирпичный,11 900 000 
Вторичка,3-комн,Деловой центр,14 мин. пешком,3,85,Дизайнерский,,,,43 500 000 
Вторичка Апартаменты,1-комн,Коломенская,32 мин. пешком,7,30,Без ремонта,2016,,,5 211 000 
Вторичка Апартаменты,2-комн,Красные ворота,11 мин. пешком,8,"66,4",Косметический,2018,,Монолитный,18 924 000 
Вторичка,2-комн,Пролетарская,15 мин. пешком,3,43,Без ремонта,1973,,Кирпичный,9 200 000 
Вторичка,3-комн,Ясенево,12 мин. пешком,3,78,Косметический,1987,,Панельный,16 500 000 
Вторичка,4-комн,Комсомольская,1 мин. пешком,8,"83,1",Косметический,1961,,Кирпичный,19 000 000 
Новостройка Апартаменты,1-комн,Ботанический сад,11 мин. пешком,3,"48,6",,,2019,Монолитный,8 098 461 
Новостройка,4-комн,Фили,6 мин. пешком,4,"102,6",,,2020,Монолитный,26 881 200 
Вторичка,1-комн,Волжская,8 мин. пешком,1,38,Косметический,1988,,Панельный,6 150 000 
Вторичка,2-комн,Бабушкинская,3 мин. на транспорте,8,45,Косметический,1979,,Панельный,7 500 000 
Вторичка,2-комн,Аэропорт,4 мин. на транспорте,9,"73,2",Евроремонт,2006,,Монолитный,27 000 000 
Новостройка,3-комн,Фрунзенская,13 мин. пешком,7,"166,6",,,2019,,111 840 262 
Новостройка,1-комн,Домодедовская,2 мин. на транспорте,17,"33,8",,,2020,Монолитный,7 324 460 
Вторичка,2-комн,Бунинская аллея,20 мин. пешком,4,64,Евроремонт,2015,,Монолитный,9 550 000 
Вторичка,2-комн,Арбатская,7 мин. пешком,5,51,Евроремонт,1927,,Кирпичный,22 800 000 
Вторичка,2-комн,Бибирево,7 мин. на транспорте,6,"52,5",Косметический,1981,,Панельный,7 650 000 
Новостройка,3-комн,Водный стадион,11 мин. пешком,8,"77,9",,,2022,,16 047 400 
Новостройка,1-комн,Водный стадион,11 мин. пешком,34,"42,8",,,2022,,10 229 200 
Вторичка,5-комн,Баррикадная,10 мин. пешком,4,178,Евроремонт,1914,,Кирпичный,153 000 000 
Вторичка,2-комн,Люблино,1 мин. пешком,4,55,Евроремонт,2009,,Монолитный,12 700 000 
Новостройка,3-комн,Фили,6 мин. пешком,2,"65,5",,,2020,Монолитный,17 030 000 
Вторичка Пентхаус,Квартира свободной планировки,Боровицкая,3 мин. пешком,9,000,Без ремонта,,,Кирпичный,350 000 000 
Вторичка,3-комн,Новоясеневская,12 мин. пешком,17,76,Косметический,1988,,Монолитный,15 990 000 
Новостройка,5-комн,Измайловская,2 мин. на транспорте,18,"115,68",,,2020,Монолитный,22 430 428 
Новостройка,5-комн,Измайловская,2 мин. на транспорте,13,"121,91",,,2020,Монолитный,24 645 004 
Вторичка,4-комн,Китай-город,,2,147,Дизайнерский,1914,,Кирпичный,59 000 000 
Вторичка,1-комн,Кантемировская,10 мин. пешком,5,33,Косметический,1967,,Панельный,6 500 000 
Новостройка,3-комн,Алексеевская,12 мин. пешком,31,"94,34",,,2022,Монолитный,26 698 220 
Новостройка,5-комн,Измайловская,2 мин. на транспорте,2,"115,46",,,2020,Монолитный,21 323 766 
Вторичка Апартаменты,2-комн,Сухаревская,11 мин. пешком,9,57,Дизайнерский,2018,,Монолитный,24 000 000 
Вторичка,3-комн,Полянка,4 мин. на транспорте,2,180,Евроремонт,,,,266 505 120 
Новостройка,2-комн,Алексеевская,12 мин. пешком,2,"57,73",,,2023,Монолитный,11 834 650 
Новостройка,2-комн,Алексеевская,12 мин. пешком,6,"78,44",,,2023,Монолитный,15 531 120 
Новостройка,4-комн,Алексеевская,12 мин. пешком,2,"91,92",,,2023,Монолитный,18 016 320 
Новостройка,2-комн,Алексеевская,12 мин. пешком,2,"74,32",,,2023,Монолитный,14 566 720 
Новостройка,3-комн,Алексеевская,12 мин. пешком,6,"95,96",,,2023,Монолитный,19 192 000 
Вторичка,3-комн,Лубянка,3 мин. пешком,2,109,Дизайнерский,,,,133 252 560 
Вторичка,3-комн,Новые Черемушки,24 мин. пешком,12,125,Без ремонта,2017,,Монолитный,32 500 000 
Вторичка,4-комн,Новые Черемушки,24 мин. пешком,7,135,Без ремонта,2017,,Монолитный,33 350 000 
Вторичка,1-комн,Автозаводская,7 мин. пешком,1,52,,1957,,Кирпичный,8 950 000 
Вторичка,3-комн,Новоясеневская,18 мин. пешком,5,"51,3",Косметический,1977,,Панельный,8 800 000 
Вторичка,2-комн,Шаболовская,5 мин. пешком,7,75,Евроремонт,2013,,Кирпичный,49 499 999 
Вторичка,2-комн,Алексеевская,,6,"62,5",Без ремонта,1955,,Кирпичный,16 700 000 
Вторичка,3-комн,Ленинский проспект,7 мин. пешком,5,"73,5",Дизайнерский,,,,23 900 000 
Вторичка,4-комн,Проспект Вернадского,5 мин. на транспорте,29,178,Без ремонта,,,,39 900 000 
Вторичка,4-комн,Проспект Вернадского,5 мин. на транспорте,27,170,Без ремонта,,,,39 900 000 
Новостройка,3-комн,Аэропорт,8 мин. пешком,2,101,,,2020,,32 663 701 
Новостройка,3-комн,Аэропорт,8 мин. пешком,2,99,,,2020,,32 136 502 
Новостройка,3-комн,Аэропорт,8 мин. пешком,5,"98,41",,,2020,,32 573 710 
Вторичка Пентхаус,5-комн,Беговая,7 мин. на транспорте,21,164,Без ремонта,2017,,Монолитный,113 600 000 
Вторичка,1-комн,Кузьминки,4 мин. на транспорте,5,39,Евроремонт,2003,,Панельный,7 600 000 
Вторичка,1-комн,Фили,6 мин. на транспорте,9,"36,1",Косметический,1982,,Панельный,7 200 000 
Вторичка,2-комн,Новогиреево,17 мин. пешком,1,"55,2",Евроремонт,1971,,Панельный,8 300 000 
Вторичка,2-комн,ЦСКА,2 мин. на транспорте,8,52,Без ремонта,2017,,Монолитный,14 600 000 
Вторичка,1-комн,Тульская,15 мин. пешком,14,"41,6",,,,,11 831 040 
Вторичка,Квартира свободной планировки,Улица 1905 года,7 мин. пешком,35,66,Без ремонта,,,Монолитный,21 500 000 
Вторичка,2-комн,Улица 1905 года,8 мин. пешком,13,"68,8",Без ремонта,2018,,Монолитный,20 500 000 
Новостройка,1-комн,Угрешская,5 мин. пешком,17,"45,5",,,2021,,9 090 900 
Новостройка Апартаменты,Апартаменты свободной планировки,Белорусская,11 мин. пешком,5,"121,6",,,2016,Монолитный,45 837 000 
Вторичка,3-комн,Фрунзенская,15 мин. пешком,4,141,Без ремонта,2014,,Монолитный,83 000 000 
Вторичка,4-комн,Шаболовская,5 мин. пешком,8,"142,5",Без ремонта,2013,,Кирпичный,68 000 000 
Вторичка Апартаменты,3-комн,Автозаводская,15 мин. пешком,4,53,Евроремонт,,,,7 950 000 
Вторичка Апартаменты,2-комн,Автозаводская,15 мин. пешком,3,42,Косметический,,,,6 600 000 
Вторичка,5-комн,Серпуховская,9 мин. пешком,6,206,Без ремонта,2013,,Кирпичный,80 000 000 
Вторичка,2-комн,Бунинская аллея,20 мин. пешком,3,42,Евроремонт,2016,,Монолитный,7 200 000 
Вторичка,2-комн,Пролетарская,5 мин. пешком,1,51,Евроремонт,,,,19 000 000 
Вторичка,1-комн,Кузьминки,10 мин. пешком,12,"39,4",Косметический,2004,,Панельный,9 000 000 
Вторичка,3-комн,Кропоткинская,9 мин. пешком,3,"104,5",,1900,,Кирпичный,58 800 000 
Вторичка,2-комн,ВДНХ,5 мин. на транспорте,11,48,Косметический,1975,,Блочный,9 350 000 
Новостройка,1-комн,Бауманская,19 мин. пешком,10,49,,1967,,Блочный,14 999 000 
Вторичка Пентхаус,2-комн,Дубровка,5 мин. пешком,19,122,Дизайнерский,2012,,,40 000 000 
Вторичка,3-комн,ВДНХ,12 мин. пешком,8,82,Без ремонта,2009,,Монолитный,34 700 000 
Вторичка,Квартира свободной планировки,Полянка,4 мин. на транспорте,3,520,Без ремонта,,,Монолитный,558 391 680 
Вторичка,2-комн,Минская,4 мин. на транспорте,4,60,Дизайнерский,2006,,Монолитный,25 990 000 
Вторичка,4-комн,Смоленская,5 мин. пешком,6,"191,1",,2010,,Монолитный,125 000 000 
Вторичка,1-комн,Москворечье,5 мин. пешком,6,38,Косметический,1988,,Панельный,6 570 000 
Вторичка,1-комн,Улица Скобелевская,17 мин. пешком,6,"36,4",Без ремонта,2017,,Монолитный,6 750 000 
Вторичка,Многокомнатная квартира,Чистые пруды,5 мин. пешком,3,"324,6",Евроремонт,,,,140 000 000 
Вторичка,4-комн,Арбатская,4 мин. пешком,2,189,Дизайнерский,1914,,Кирпичный,101 525 760 
Новостройка Апартаменты,Апартаменты свободной планировки,Бауманская,6 мин. пешком,6,"221,8",,,2015,Монолитный,67 205 400 
Вторичка,3-комн,Сокол,5 мин. пешком,13,117,Дизайнерский,2006,,,48 989 999 
Вторичка,3-комн,Трубная,5 мин. пешком,4,63,Евроремонт,1905,,Кирпичный,28 000 000 
Вторичка,4-комн,Трубная,6 мин. пешком,4,"197,7",Дизайнерский,1917,,Кирпичный,80 000 000 
Вторичка,5-комн,Парк Культуры,7 мин. пешком,5,203,Без ремонта,2010,,Монолитный,150 000 000 
Вторичка,3-комн,Красные ворота,5 мин. пешком,4,60,Косметический,1895,,Кирпичный,16 400 000 
Вторичка,2-комн,Дубровка,5 мин. пешком,15,78,Евроремонт,2012,,,25 300 000 
Вторичка,3-комн,Шаболовская,9 мин. пешком,5,"123,8",Без ремонта,2017,,Монолитный,40 999 999 
Вторичка,1-комн,Первомайская,7 мин. на транспорте,4,"36,7",Косметический,1984,,Панельный,7 200 000 
Вторичка,4-комн,Кунцевская,10 мин. пешком,12,"217,6",,2001,,Монолитный,44 900 000 
Вторичка,4-комн,Беляево,1 мин. пешком,8,"138,3",,2006,,Монолитный,29 990 000 
Вторичка,3-комн,Новые Черемушки,3 мин. на транспорте,11,75,Евроремонт,1983,,Панельный,16 650 000 
Новостройка,1-комн,Владыкино,12 мин. пешком,7,"43,1",,,2020,,9 091 945 
Вторичка,3-комн,Трубная,6 мин. пешком,3,"68,2",Косметический,1876,,Кирпичный,20 490 000 
Новостройка,2-комн,Ботанический сад,2 мин. на транспорте,11,"58,3",,,2019,,14 000 000 
Вторичка,2-комн,Деловой центр,9 мин. на транспорте,7,62,Дизайнерский,2011,,Монолитный,35 900 000 
Вторичка,2-комн,Ленинский проспект,,1,"44,7",,1960,,Блочный,9 280 000 
Вторичка,4-комн,Арбатская,8 мин. пешком,3,206,,1900,,Кирпичный,69 980 000 
Вторичка,3-комн,Люблино,8 мин. пешком,12,"78,1",Евроремонт,2002,,Панельный,13 203 300 
Вторичка Апартаменты,2-комн,Новокузнецкая,8 мин. пешком,3,"66,7",Без ремонта,2016,,Монолитный,31 200 000 
Вторичка Апартаменты,5-комн,Деловой центр,3 мин. пешком,67,292,Без ремонта,,,,107 871 120 
Новостройка,1-комн,Бунинская аллея,7 мин. на транспорте,10,"33,6",,,2022,,5 275 200 
Новостройка,3-комн,Бунинская аллея,7 мин. на транспорте,12,"72,5",,,2022,,8 605 750 
Новостройка,1-комн,Бунинская аллея,7 мин. на транспорте,12,"42,2",,,2022,,5 844 700 
Новостройка,Студия,Бунинская аллея,7 мин. на транспорте,12,"19,8",,,2022,Панельный,3 791 700 
Вторичка,2-комн,Владыкино,12 мин. пешком,7,"52,1",Косметический,1979,,Панельный,8 900 000 
Вторичка,3-комн,Ясенево,10 мин. пешком,9,53,,1976,,Монолитный,8 800 000 
Вторичка,2-комн,Автозаводская,10 мин. пешком,8,44,Косметический,1962,,Кирпичный,9 150 000 
Новостройка,2-комн,Водный стадион,9 мин. пешком,10,"54,3",,,,,10 794 600 
Новостройка,1-комн,Крылатское,4 мин. на транспорте,23,"51,7",,2016,2016,Монолитный,9 570 704 
Вторичка Пентхаус,Многокомнатная квартира,Кропоткинская,10 мин. пешком,5,460,,1905,,Кирпичный,150 000 000 
Вторичка,Студия,Бунинская аллея,5 мин. пешком,2,"48,7",Косметический,,,Панельный,9 990 000 
Вторичка,1-комн,Марьино,4 мин. на транспорте,7,32,Косметический,1980,,Панельный,5 700 000 
Вторичка,5-комн,Цветной бульвар,5 мин. пешком,9,"216,4",Дизайнерский,2010,,Монолитный,217 000 000 
Вторичка,2-комн,Курская,3 мин. пешком,7,50,Косметический,1962,,Кирпичный,14 800 000 
Вторичка,5-комн,Беговая,7 мин. на транспорте,3,183,Без ремонта,2017,,Монолитный,84 175 990 
Вторичка,3-комн,Беговая,7 мин. на транспорте,10,114,Без ремонта,2017,,Монолитный,49 000 000 
Вторичка,1-комн,Кунцевская,19 мин. пешком,8,39,Косметический,1996,,Блочный,9 980 000 
Новостройка,3-комн,Чеховская,7 мин. пешком,2,"138,2",,,2020,,207 300 000 
Вторичка,Студия,Шаболовская,11 мин. пешком,5,44,Дизайнерский,,,Монолитный,22 300 000 
Вторичка,2-комн,ВДНХ,10 мин. пешком,5,"52,5",Евроремонт,1968,,Кирпичный,12 490 000 
Вторичка,3-комн,Трубная,7 мин. пешком,10,"153,66",,,,,145 977 000 
Вторичка Апартаменты,1-комн,Красные ворота,11 мин. пешком,10,43,Косметический,2018,,Монолитный,13 115 000 
Вторичка,2-комн,Бунинская аллея,9 мин. пешком,3,"59,6",Косметический,2000,,Панельный,9 750 000 
Вторичка,3-комн,Ленинский проспект,20 мин. пешком,5,"133,5",,2017,,Монолитный,65 000 000 
Новостройка,2-комн,Владыкино,12 мин. пешком,4,"64,3",,,2020,,11 715 460 
Новостройка,1-комн,Медведково,2 мин. на транспорте,33,42,,,2021,,7 824 600 
Вторичка,3-комн,Кузнецкий мост,5 мин. пешком,4,65,Евроремонт,1905,,Кирпичный,28 000 000 
Вторичка,2-комн,Киевская,15 мин. пешком,7,63,Дизайнерский,2011,,Монолитный,35 900 000 
Вторичка,2-комн,Братиславская,2 мин. на транспорте,3,57,Без ремонта,1960,,Кирпичный,8 500 000 
Вторичка,4-комн,Студенческая,1 мин. пешком,1,"79,4",Без ремонта,1929,,Кирпичный,14 690 000 
Вторичка,2-комн,Волжская,3 мин. на транспорте,4,44,Косметический,1960,,Панельный,7 800 000 
Вторичка,3-комн,Курская,10 мин. пешком,3,97,,2001,,Кирпичный,65 000 000 
Новостройка,Студия,Измайловская,2 мин. на транспорте,4,"20,47",,,2021,Монолитный,5 258 743 
Вторичка,3-комн,Проспект Мира,6 мин. пешком,8,115,Косметический,1977,,Кирпичный,33 990 000 
Вторичка,2-комн,Полянка,5 мин. пешком,6,52,Дизайнерский,2001,,Монолитный,33 000 000 
Новостройка,3-комн,Проспект Вернадского,2 мин. на транспорте,2,"124,1",,,2019,,30 228 382 
Новостройка,2-комн,Проспект Вернадского,2 мин. на транспорте,7,"85,7",,,2019,,22 480 638 
Новостройка,3-комн,Проспект Вернадского,2 мин. на транспорте,9,"126,1",,,2019,,34 070 626 
Новостройка,4-комн,Проспект Вернадского,2 мин. на транспорте,11,"165,7",,,2019,,42 814 072 
Новостройка,4-комн,Проспект Вернадского,2 мин. на транспорте,16,"147,7",,,2019,,38 500 000 
Вторичка,1-комн,Бабушкинская,,7,"32,5",,,,,6 400 000 
Вторичка,2-комн,Кузнецкий мост,,2,138,Дизайнерский,2009,,Монолитный,88 835 040 
Вторичка,4-комн,Арбатская,,3,208,Евроремонт,2002,,Монолитный,127 203 200 
Вторичка Апартаменты,Многокомнатные апартаменты,Трубная,4 мин. пешком,4,294,Евроремонт,,,,150 000 000 
